Paper_title ,Broad_subject ,Specific_focus ,Data_type ,Country_studied,Publication_year,County,Region,UK_country,,Number of rivers or areas studied 
Do Eurasian otters Lutra lutra(L.) in the Somerset Levels prey preferentially on non-native fish species?,Ecology ,Diet,Spraint,United Kingdom,2008,Somerset,South West,England,,1 region
Tyzzer's disease in a Eurasian otter (Lutra lutra) in Scotland.,Health,Disease,Specimen,United Kingdom,2008,Western Isles ,Highlands,Scotland,,
Otter (Lutra Lutra L.) Mortalities In Southern Bulgaria: A Case Study.,Health,Mortality ,Postmortem_Survey,Bulgaria,2007,,,,,4 or more
"Winter predation by otter, Lutra lutra on carp pond systems in South Bohemia (Czech Republic)",Ecology ,Diet,Spraint,Czech Republic,2007,,,,,3 locations
Genetic structure and evidence for recent population decline in Eurasian otter populations in the Czech and Slovak Republics: implications for conservation,Population ,Population Genetics ,Tissue samples_Spraint,Czech Republic_Slovakia,2007,,,,,
Snow tracking: a relevant method for estimating otter Lutra lutrapopulations,Population ,Population Size ,Survey,Finland,2007,,,,,
Source and sink dynamics of density-dependent otter (Lutra lutra) populations in rivers of central Finland,Population ,Population Size ,Survey,Finland,2007,,,,,
Use of snow-tracking methods to estimate the abundance of otter (Lutra lutra) in Finland with evaluation of one-visit census for monitoring purposes,Population ,Population Size ,Survey,Finland,2007,,,,,
Organochlorine Compounds (pesticides and PCBs) in Scats of the European Otter (Lutra lutra) from an Actual Expanding Population in Central Franc,Pollution,POPs,Spraint,France,2007,,,,,
A conceptual framework for damage compensation schemes,Ecology ,Human impacts ,Economic variables ,Germany,2007,,,,,NA
Diet and fish choice of Eurasian otters (Lutra lutra L.) in fish wintering ponds in Hungary,Ecology ,Diet,Spraint,Hungary,2007,,,,,2 locations
Temporal and spatial variation in otter Lutra lutra diet in Northern Ireland,Ecology ,Diet,Spraint,Ireland,2007,,,,,1 region
Decline and recovery in otter Lutra lutra populations in Italy,Population ,Population Size ,Survey,Italy,2007,,,,,
Sex identification of Eurasian otter (Lutra lutra) non-invasive DNA samples using ZFX/ZFY sequences,Reviews and methods,Genetic Methodologies ,Tissue samples ,Italy,2007,,,,,
The importance of ponds for the otter (Lutra lutra) during drought periods in Mediterranean ecosystems: a case study in Bergantes River,Behaviour,Daily Routine ,Tracking,Medaterranian ,2007,,,,,
Prey availability and diet of the Eurasian otter (Lutra lutra) on a large reservoir and associated tributaries,Ecology ,Diet,Spraint,Portugal,2007,,,,,1 system
Use of Aguieira Dam by Eurasian otters in Central Portugal,Ecology ,Habitat Use ,Survey,Portugal,2007,,,,,1 river system
Otters and fish farms in the Sado estuary: ecological and socio-economic basis of a conflict,Ecology ,Human impacts ,Survey,Portugal,2007,,,,,1 river system
Canine Adenovirus Type 1 Infection of a Eurasian River Otter (Lutra lutra),Health,Disease,Specimen,Republic of Korea,2007,,,,,
Hepatocellular adenoma in a Eurasian otter (Lutra lutra),Health,Disease,Specimen,Republic of Korea,2007,,,,,
Does size matter? Relating consumed prey sizes and diet composition of otters in South Iberian coastal streams,Ecology ,Diet,Spraint,Spain,2007,,,,,3 river systems
Eurasian otter (Lutra lutra) diet and prey selection in Mediterranean streams invaded by centrarchid fishes,Ecology ,Diet,Spraint,Spain,2007,,,,,1 river system
Cryptosporidium and Giardia in wild otters (Lutra lutra),Health,Parasites,Spraint,Spain,2007,,,,,
Reliability of noninvasive genetic census of otters compared to field censuses,Reviews and methods,Population Review,Literiture,Sweden,2007,,,,,
Mitochondrial genetic diversity and structure of the European otter (Lutra lutra) in Britain,Population ,Population Genetics ,Tissue samples ,United Kingdom,2007,National ,,United Kingdom,,
decline of invasive alien mink (Mustela vison) is concurrent with recovery of native otters (Lutra lutra),Population ,Population Size ,Modeling ,United Kingdom,2007,Northumberland,North East,England,,
The Eurasian otter Lutra lutra in Afghanistan,Reviews and methods,Species Review ,Literiture,Afghanistan,2006,,,,,
DIET OF THE OTTER Lutra Lutra IN DIFFERENT HABITATS OF SOUTH- EASTERN BULGARIA ,Ecology ,Diet,Spraint,Bulgaria,2006,,,,,3 river systems
Factors affecting success of PCR amplification of microsatellite loci from otter faeces,Reviews and methods,Population Review,Spraint,Czech Republic,2006,,,,,
Recovery of the otter Lutra lutra in Denmark monitored by field surveys and collection of carcasses,Ecology ,Distribution,Survey,Denmark,2006,,,,,National 
Applicability of spraints for monitoring organic contaminants in free-ranging otters (Lutra lutra),Reviews and methods,Pollution Review ,Spraint,Europe,2006,,,,,
Structure of an otter (Lutra lutra) population in Germany – results of DNA and hormone analyses from faecal samples,Population ,Population Genetics ,Spraint,Germany,2006,,,,,
Comparison of the feeding habits of Eurasian otters on a fast flowing river and its backwater habitats,Ecology ,Diet,Spraint,Hungary,2006,,,,,1 river system
Factors affecting the predation of otter (Lutra lutra) on European pond turtle (Emys orbicularis),Ecology ,Diet,Spraint,Hungary,2006,,,,,1 location
Feeding habits of otters living on three moors in the Pannonian ecoregion (Hungary),Ecology ,Diet,Spraint,Hungary,2006,,,,,3 locations
STATUS AND DIET OF THE OTTER LUTRA LUTRA IN NORTHERN IRELAND,Ecology ,Diet,Spraint,Ireland,2006,,,,,1 region
Otter Lutra lutra movements assessed by genotyped spraints in southern Italy,Behaviour,Sprainting behaviour ,Spraint,Italy,2006,,,,,
Diet of the Eurasian otter (Lutra lutra) in relation to freshwater habitats and alien fish species in southern Italy,Ecology ,Diet,Spraint,Italy,2006,,,,,1 river system
ESTIMATION OF EUROPEAN OTTER (LUTRA LUTRA) POPULATION SIZE BY FECAL DNA TYPING IN SOUTHERN ITALY,Population ,Population Genetics ,Spraint ,Italy,2006,,,,,
Non-invasive genetic sampling of the Eurasian Otter (Lutra lutra) using hairs,Population ,Population Genetics ,Hair,Italy,2006,,,,,
"Body size changes among otters, Lutra lutra, in Norway: the possible effects of food availability and global warming",Anatomy and Physiology,Anatomy ,Morphological mesures ,Norway,2006,,,,,
"Experiments on sprainting activity of otters ( Lutra lutra ) in the Bieszczady Mountains, southeastern Poland",Behaviour,Sprainting behaviour ,Spraint,Poland,2006,,,,,
"Habitat and seasonal variations in diet of otters, Lutra lutra in eastern Poland",Ecology ,Diet,Spraint,Poland,2006,,,,,5 river systems 
Otter (Lutra lutra L.) damage in commercial carp ponds of southern Poland,Ecology ,Human impacts ,Spraint,Poland,2006,,,,,1 location
Seasonal use of coastal resources by otters: Comparing sandy and rocky stretches,Ecology ,Diet,Spraint,Spain,2006,,,,,1 location
Non-intrusive monitoring of otters (Lutra lutra) using infrared technology,Behaviour,Daily Routine ,Camera traps ,United Kingdom,2006,Aberdeenshire,Lowlands ,Scotland,,
Revealing the prey items of the otter Lutra lutra in South West England using stomach contents analysis,Ecology ,Diet,Gut contents,United Kingdom,2006,"Cornwall, Devon, Dorset, Somerset, Hampshire, (environment agency)",South West,England,,1 region
"Distribution and diet of otters (Lutra lutra) in marine areas of Loch Lomond and The Trossachs National Park, Scotland, UK ",Ecology_Population ,Diet_Population distribution,Spraint_survey,United Kingdom,2006,Argyll and Bute                      ,Highlands,Scotland,,1 location
Patterns and significance of bite wounds in Eurasian otters (Lutra lutra) in southern and south-west England.,Health,General Health ,Specimen,United Kingdom,2006,"Cornwall, Devon, Somerset, Dorset, Hampshire, (environment agency)","South West, South ",England ,,
Landscape genetics applied to a recovering otter (Lutra lutra) ppopulation in the UK: preliminary results and potential methodologies,Population ,Population Genetics ,Tissue samples ,United Kingdom,2006,National ,,Wales ,,
Habitats of the Otter (Lutra lutra L.) in some Regions of Southern Bulgaria,Population ,Population Size ,Survey,Bulgaria,2005,,,,,
Efficiency of conservation shortcuts: An investigation with otters as umbrella species,Ecology ,Habitat sutibility ,Enviromental variables,France,2005,,,,,NA
"Concentrations of PCBs, organochlorine pesticides and heavy metals (lead, cadmium, and copper) in fish from the Drôme river: Potential effects on otters (Lutra lutra)",Pollution,Heavy metals_POPs,Tissue samples ,France,2005,,,,,
Distribution and sprainting activity of the Otter (Lutra lutra) in the Pollino National Park (southern Italy),Ecology ,Habitat Use ,Survey,Italy,2005,,,,,1 location
"Structure of the Mitochondrial Control Region of the Eurasian Otter (Lutra lutra; Carnivora, Mustelidae): Patterns of Genetic Heterogeneity and Implications for Conservation of the Species in Italy",Population ,Population Genetics ,Tissue samples ,Italy,2005,,,,,
"Otter Lutra lutra damage at farmed fisheries in southeastern Poland, I: an interview survey",Ecology ,Human impacts ,Survey,Poland,2005,,,,,NA
Amphibian and Reptile Consumption by Otters (Lutra Lutra) in a Coastal Area in Southern Iberian Peninsula,Ecology ,Diet,Spraint,Portugal,2005,,,,,4 river systems 
Use of small rich patches by Eurasian otter (Lutra lutra L.) females and cubs during the pre-dispersal period,Behaviour,Daily Routine,Observations ,Spain,2005,,,,,
Length relationships of cyprinid prey in diet analysis of Eurasian otter Lutra lutra in Mediterranean habitats,Ecology ,Diet,Specimen,Spain,2005,,,,,3 river systems
"Organochlorine residues in fishes from two rivers in Cantabria, Spain: Implications for a program of otter (Lutra lutra) reintroduction",Pollution,POPs,Specimen,Spain,2005,,,,,
Genetic variability in the complete mitochondrial control region of the Eurasian otter (Lutra lutra) in the Iberian Peninsula,Population ,Population Genetics ,Tissue samples ,Spain,2005,,,,,
Isolation and characterization of tetramicrosatellite DNA markers in the Eurasian otter (Lutra lutra),Reviews and methods,Genetic Methodologies ,Tissue samples ,Taiwan,2005,,,,,
The Effect of Disturbances to Habitat Quality on Otter (Lutra lutra) Activity in the River Kızılırmak (Turkey): a Case Study,Ecology ,Habitat Use ,Spraint,Turkey,2005,,,,,1 river system
"Presence of carp, Cyprinus carpio, in the diet of the otter, Lutra lutra",Ecology ,Diet,Gut contents,United Kingdom,2005,Cornwall,South West,England ,,NA
"The dietary response of otters (Lutra lutra) to introduced ruffe (Gymnocephalus cernuus) in Loch Lomond, Scotland",Ecology ,Diet,Spraint,United Kingdom,2005,"Argyll and Bute, Dunbartonshire",Loch lomand,Scotland,,1 location
Differential habitat use promotes sustainable coexistence between the specialist otter and the generalist mink,Ecology ,Niche Occupation ,Survey,United Kingdom,2005,"Cornwall, Devon, Somerset",,,,1 region
Impact of released Eurasian otters on a population of American mink: a test using an experimental approach,Ecology ,Niche Occupation ,Survey,United Kingdom,2005,Oxfordshire,,,,1 region
Cholecystitis in otters (Lutra lutra) and mink (Mustela vison) caused by the fluke Pseudamphistomum truncatum.,Health,Disease,Specimen,United Kingdom,2005,"Cornwall, Devon, Dorset, Somerset, Hampshire, Wiltshire, (environment agency)","South West, South ",England ,,
The impact of methods of fishery management on the diet of otters (Lutra lutra),Ecology ,Diet,Spraint,Czech Republic,2004,,,,,1 river system
Otter (Lutra lutra) predation on stocked brown trout (Salmo trutta) in two Danish lowland rivers,Ecology ,Diet,Spraint,Denmark,2004,,,,,2 river systems_1 region
"Eurasian Otters, Lutra lutra, Have a Dominant mtDNA Haplotype From the Iberian Peninsula to Scandinavia ",Population ,Population Genetics ,Tissue samples ,Europe,2004,,,,,
PCBs in Fish of the Ardeche River: Potential Implications for the Survival of the Otter (Lutra Lutra),Pollution,POPs,Spraint,France,2004,,,,,
PRELIMINARY STUDY OF THE TRACKS OF CAPTIVE OTTERS (Lutra lutra) AS A TOOL FOR FIELD RESEARCH. ,Reviews and methods,Population Review,Tracks,France,2004,,,,,
"Otter Lutra lutra damage at farmed fisheries in southeastern Poland, II: exploitation of common carp Cyprinus carpio",Ecology ,Human impacts ,Spraint,Poland,2004,,,,,1 location
analysis about habitat of Eurasian otter Lutra lutra L. by using GIS in the River Ungok of North-Kyongsang Province,Ecology ,Habitat Use ,Spraint,Republic of Korea,2004,,,,,1 river system
"Molecular DNA systematic analyses of East Asian mammals: Sequence Variation of cytochrome b Gene and Control Region of Mitochondrial DNA of Common Otter, Lutra lutra lutra L. (Mammalia, Carnivora) from Kore",Population ,Population Genetics ,Tissue samples ,Republic of Korea,2004,,,,,
Influence of spatial heterogeneity on coastal otter (Lutra lutra) prey consumption,Ecology ,Diet,Spraint,Spain,2004,,,,,3 river systems
Stress in wild-caught Eurasian otters (Lutra lutra): effects of a long-acting neuroleptic and time in captivity,Reviews and methods,Capture Methodologies,Literiture,Spain,2004,,,,,
Helminth parasites of the Eurasian otter Lutra lutra in southwest Europe,Health,Parasites,Spraint,Spain_France_Portugal,2004,,,,,
Genetic evaluation of an otter translocation program,Population ,Reintroduction,Specimen,Sweden,2004,,,,,
Faecal DNA typing to determine the abundance and spatial organisation of otters (Lutra lutra) along two stream systems in Kinmen,Population ,Population Size ,Spraint,Taiwan,2004,,,,,
"Status of the Eurasian Otter, Lutra lutra, in Turkey, and experiences with establishing a National Otter Data Base",Population ,Population Size ,Survey,Turkey,2004,,,,,
Evidence of lesser horseshoe bat (Rhinolophus hipposideros) predation by otter (Lutra lutra) in a Welsh cave system ,Ecology ,Diet,Spraint,United Kingdom,2004,Mid Glamorgan,North Wales,Wales,,1 location
Competition between Eurasian otter Lutra lutra and American mink Mustela vison probed by niche shift,Ecology ,Niche Occupation ,Spraint,United Kingdom,2004,Devon,South West,England,,1 river system
Retinal dysplasia in wild otters (Lutra lutra) ,Health,General Health ,Specimen,United Kingdom,2004,"Cornwall, Devon, Dorset, Somerset, (environment agency) ",South West,England,,
Impacts of otter (Lutra lutra L.) predation on fishponds: A study of fish remains at ponds in the Czech Republic,Ecology ,Diet,Spraint,Czech Republic,2003,,,,,1 location
"On the use of diagnostic bones of brown trout, Salmo trutta m. fario, grayling, Thymallus thymallus and Carpathian sculpin, cottus poecilopus in Eurasian otter, Lutra lutra diet analysis",Ecology ,Diet,Spraint,Europe,2003,,,,,1 river system
Genetic structure in otter (Lutra lutra) populations in Europe: implications for conservation,Population ,Population Genetics ,Tissue samples ,Europe,2003,,,,,
Trophic diversity of the otter (Lutra lutra L.) in temperate and Mediterranean freshwater habitats,Reviews and methods,Ecology Review,Literiture,Europe,2003,,,,,
Protecting Fish Farms from Predation by the Eurasian Otter (Lutra lutra) in the Limousin Region of Central France: First Results,Reviews and methods,Ecology Review,Experimental,France,2003,,,,,NA
Diet of otters living in three different habitats in Hungary,Ecology ,Diet,Spraint,Hungary,2003,,,,,1 river system
"Using molecular markers and PCB analysis to infer the origin of the otter (Lutra lutra) found on the Knardijk, the Netherlands, in 199",Population ,Population Genetics ,Tissue samples ,Netherlands,2003,,,,,
The use of spraints for non-invasive monitoring of pollution levels and reproductive status in individual free ranging otters (Lutra lutra),Reviews and methods,Pollution Review ,Tracks,Netherlands,2003,,,,,
Otter (Lutra lutra) distribution modeling at two resolution scales suited to conservation planning in the Iberian Peninsula,Ecology ,Habitat Use ,Enviromental variables,Portugal,2003,,,,,Region
"EURASIAN OTTER (LUTRA LUTRA), A DEFINITIVE HOST FOR DIROFILARIA IMMITIS",Health,Parasites,Specimen,Republic of Korea,2003,,,,,
Range and diet of Eurasian otters Lutra lutra (L.) in the catchment of the River Lee (south-east England) since re-introduction,Ecology ,Diet,Spraint,United Kingdom,2003,"Hertfordshire, Essex",East England,England ,,1 river system
"Factors affecting the success of an otter (Lutra lutra) reinforcement programme, as identified by post-translocation monitoring",Ecology ,Habitat Use ,Enviromental variables,United Kingdom,2003,East Riding of Yorkshire,North East,England,,2 river systems 
Growth in Otter (Lutra lutra) Populations in the UK as Shown by Long-term Monitoring,Population ,Population Size ,Spraint,United Kingdom,2003,"Norfolk, Shropshire",,,,
Influence of Selection of Bank Side on the Standard Method for Otter Surveys,Reviews and methods,Population Review,Survey,United Kingdom,2003,,,,,1 island
Comparative analysis of the helminthocenoses of the otter (Lutra lutra) and polecat (Mustela putorius) in Belarus,Health,Parasites,Specimen,Belarus,2002,,,,,
"Effects of Moult, Age, and Sex on the Accumulation of Heavy Metals in the Otter (Lutra lutra) in Finland",Pollution,Heavy metals,Hair,Finland,2002,,,,,
"Otter, Lutra lutra, occurrence in Europe and in France in relation to landscape characteristics",Population ,Population Size ,Survey,France,2002,,,,,
Traffic Mortalities of the Otter and Road-Passes: a Database,Reviews and methods,Ecology Review,Survey,France,2002,,,,,NA
Mortality patterns of otters (Lutra lutra) from eastern Germany,Health,Mortality ,Specimen,Germany,2002,,,,,
"Reproductive performance of otters Lutra lutra(Linnaeus, 1758) in Eastern Germany: low reproduction in a long-term strategy",Population ,Population Size ,Specimen,Germany,2002,,,,,
Otters And Fyke Nets -Some Aspects Which Need Further Attention,Ecology,Human impacts,Literiture,Germany_Ireland_Finland_Norway_Denmark_Poland_Sweden,2002,,,,,
The influence of resource seasonality on the breeding patterns of the Eurasian otter (Lutra lutra) in Mediterranean habitats,Ecology ,Habitat Use ,Enviromental variables,Medaterranian ,2002,,,,,11_1 region
The impact of introduced centrarchids on native fish fauna and otter (Lutra lutra) diet in a Mediterranean river basin,Ecology,Diet,Spraint,Spain,2002,,,,,
Quantification of perphenazine in Eurasian otter (Lutra lutra lutra) urine samples by gas chromatography–mass spectrometry☆,Pollution,Pharmaceuticals,Urine ,Spain,2002,,,,,
"REINTRODUCTION OF THE EURASIAN OTTER (LUTRA LUTRA) IN NORTHEASTERN SPAIN: TRAPPING, HANDLING, AND MEDICAL MANAGEMENT",Reviews and methods,Capture Methodologies,Survey,Spain,2002,,,,,
Biometric relationships between body size and bone lengths in fish prey of the Eurasian otter Lutra lutra: chub Leuciscus cephalus and perch Perca fluviatilis ,Anatomy and Physiology,Anatomy ,Specimen,United Kingdom,2002,Hertfordshire,,,,
A postmortem study of otters (Lutra lutra) in England and Wales,Health,General Health ,Specimen,United Kingdom,2002,National ,,England and wales,,
Similar estimates of population genetic composition and sex ratio derived from carcasses and faeces of Eurasian otter Lutra lutra,Population ,Population Genetics ,Tissue samples ,United Kingdom,2002,"Cornwall, Devon, Somerset ",South West,England,,
Spatially restricted gene flow and reduced microsatellite polymorphism in the Eurasian otter Lutra lutra in Britain,Population ,Population Genetics ,Tissue samples ,United Kingdom,2002,"Cornwall, Devon, Somerset, Hampshire, Powys, Dyfed, Gwyneed, Clwyd, Wigtown, The Stewartry of Kirkcudbright, Dumfries, Roxburgh, Ettrick and Lauderdale, Renfrewshire, Dunbartonshire, Argyll and Bute, Fife, Angus, Aberdeenshire, Inverness, Ross and Cromarty",South West,United Kingdom,,
Density dynamics and changes in habitat use by the European mink and other native mustelids in connection with the American mink expansion in Belarus,Ecology ,Habitat Use ,Radio tracking,Belarus,2001,,,,,1 river system
Genetic consequences of population decline in the European otter (Lutra lutra): an assessment of microsatellite DNA variation in Danish otters from 1883 to 1993,Population ,Population Genetics ,Tissue samples ,Denmark,2001,,,,,
Otter Lutra lutra predation on farmed and free-living salmonids in,Ecology ,Diet,Spraint,Finland,2001,,,,,1 river system
Recent biogeographic and ecological studies on otter (Lutra lutra) and European mink (Mustela lutreola) in F,Reviews and methods,Conservation Status Review ,Literiture,France,2001,,,,,
Population analysis of dental anomalies of ottersLutra lutra from eastern Germany,Anatomy and Physiology,Anatomy ,Morphological mesures ,Germany,2001,,,,,
"SOME RESULTS OF THE 1991 AND 1999 OTTER (Lutra lutra) SURVEYS IN THE RIVER ISE CATCHMENT, LOWER-SAXONY, GERMANY",Population ,Population Size ,Survey,Germany,2001,,,,,
"Diet of the otter Lutra lutra in lake Kerkini and stream Milli-Aggistro, Greece ",Ecology ,Diet,Spraint,Greece,2001,,,,,1 river system_1 lake
Examination of some factors affecting selection of fish prey by otters (Lutra lutra) living by eutrophic fish ponds,Ecology ,Diet,Spraint,Hungary,2001,,,,,2 locations
RESULTS OF AN INITIAL FIELD SURVEY FOR OTTERS (Lutra lutra) IN JORDAN ,Population ,Population Size ,Survey,Jordan,2001,,,,,
Congener-specific model for polychlorinated biphenyl effects on otter (Lutra lutra) and associated sediment quality criteria,Pollution,POPs,Modeling ,Netherlands,2001,,,,,
The influence of fish abundance on the otter (Lutra lutra) populations in Iberian Mediterranean habitats,Ecology ,Diet,Spraint,Portugal,2001,,,,,1 river system
River otter (Lutra lutra L.) in northeastern Siberia: Distribution and numbers,Population ,Population Size ,Survey,Russian Federation,2001,,,,,
Hematological and biochemical reference intervals for wild caught Eurasian otter from Spain,Anatomy and Physiology,Physiology,Specimen,Spain,2001,,,,,
Conservation of otter (Lutra lutra) in a Mediterranean area: the importance of habitat quality and temporal variation in water availability,Ecology ,Niche Occupation ,Enviromental variables,Spain,2001,,,,,1 river system
"Spatial, environmental and human influences on the distribution of otter (Lutra lutra) in the Spanish provinces",Ecology_Population ,Human impacts_Population distribution ,Enviromental variables,Spain,2001,,,,,National 
Reversible immobilization of Eurasian otters with a combination of ketamine and medetomidine,Health,Surgery,Specimen,Spain,2001,,,,,
Testing the surveys and visual and track censuses of Eurasian otters (Lutra lutra),Population ,Population Size ,Survey,Spain,2001,,,,,
The otter (Lutra lutra) in Sweden — population trends in relation to ΣDDT and total PCB concentrations during 1968–99,Pollution,POPs,Specimen,Sweden,2001,,,,,
Anal Scent Gland Secretion of the European Otter (Lutra Lutra),Behaviour,Chemical communication ,Morphological mesures ,United Kingdom,2001,South Glamorgan,,,,
Monitoring the use of artificial log pile otter holts using hair analysis from bedding,Behaviour,Daily Routine,Hair,United Kingdom,2001,Powys,,,,?
Monitoring otter populations by DNA typing of spraints,Population ,Population Genetics ,Spraint,United Kingdom,2001,NA,,,,?
Bones in the heart skeleton of the otter (Lutra lutra),Anatomy and Physiology,Anatomy ,Morphological mesures ,Austria,2000,,,,,
Helminths of the Eurasian Otter (Lutra lutra L. 1758) in Belorussian Polesie  [2000],Health,Parasites,Spraint,Belarus,2000,,,,,
Craniometrical variability and developmental stability. Two useful tools for assessing the population viability of Eurasian otter (Lutra lutra) populations in Europe.,Anatomy and Physiology,Anatomy ,Morphological mesures ,Denmark,2000,,,,,
Habitat factors and the presence or absence of otters Lutra lutra in Denmark,Ecology ,Habitat Use ,Enviromental variables,Denmark,2000,,,,,national
Fatal adiaspiromycosis in a wild Eurasian otter (Lutra lutra).,Health,General Health ,Specimen,Europe,2000,,,,,
Brief communication. Mitochondrial DNA variation in the European otter (Lutra lutra) and the use of spatial autocorrelation analysis in conservation,Population ,Population Genetics ,Tissue samples ,Germany,2000,,,,,
A long-term analysis of the age structure of otters (Lutra lutra) from eastern Germany,Population ,Population Structure ,Specimen,Germany,2000,,,,,
Mitochondrial DNA variation in the European otter (Lutra lutra) and the use of spatial autocorrelation analysis in conservation,Population ,Population Structure ,Tissue samples ,Germany,2000,,,,,
NEW FINDINGS OF OTTERS (Lutra lutra) IN ISRAEL ,Population ,Population Size ,Survey,Israel,2000,,,,,
Results of an Initial Field Survey for Otters (Lutra lutra) in Jordan,Population ,Population distribution,Survey,Jordan,2000,,,,,4 river systems 
The status of the Eurasian otter (Lutra lutra) in Europe—a review,Reviews and methods,Species Review ,Literiture,NA,2000,,,,,
"The use of fish bones of three farm fish species in diet analysis of the Eurasian otter, Lutra lutra",Ecology ,Diet,Spraint,Poland,2000,,,,,1 location
Selective predation by otters Lutra lutra on common carp Cyprinus carpio at farmed fisherie,Ecology ,Human impacts ,Spraint,Poland,2000,,,,,1 location
Why the Eurasian Otter (Lutra lutra) leaves a pond? An observational test of some predictions on prey depletion,Ecology ,Diet,Spraint,Spain,2000,,,,,1 location
"Isospora lutrae n. sp. (Apicomplexa: Eimeriidae), a new coccidium from the European otter Lutra lutra (L.) (Carnivora: Mustelidae) from Spain",Health,Parasites,Spraint,Spain,2000,,,,,
Macro-anatomical investigations on skeletons of otter (Lutra lutra). III. Skeleton axiale.,Anatomy and Physiology,Anatomy ,Morphological mesures ,Turkey,2000,,,,,
Sexual Differences in the Behaviour of Young Otters (Lutra lutra),Behaviour,Daily Routine ,Observations ,United Kingdom,2000,Shetland,Highlands,Scotland,,
"Metals in tissues of European otters (Lutra lutra) from Denmark, Great Britain and Ireland",Pollution,Heavy metals,Tissue samples ,United Kingdom,2000,National ,,United Kingdom,,
A long-term study of vitamin A and polychlorinated hydrocarbon levels in otters (Lutra lutra) in south west England,Pollution,POPs,Specimen,United Kingdom,2000,"Cornwall, Devon, Somerset, (environment agency)  ",South West,England ,,
Sex identification of the Eurasian otter Lutra lutra by PCR typing of spraints,Population ,Population Size ,Spraint,Spain_Norway_Germany_France_Italy,2000,,,,,
On the reproduction biology of otters (Lutra lutra) from Denmark,Anatomy and Physiology,Reproduction,Specimen,Denmark,1999,,,,,
The diet of otters (Lutra lutra L.) in Danish freshwater habitats: comparisons of prey fish populations,Ecology ,Diet,Spraint,Denmark,1999,,,,,5 locations 
Survey of Danish Free Living Otters Lutra lutra - a Consecutive Collection and Necroscopy of Dead Bodies,Health,Mortality ,Postmortem,Denmark,1999,,,,,Region  
Extremely Low Mitochondrial DNA Control-Region Sequence Variation in the Otter Lutra Lutra Population of Denmark,Population ,Population Genetics ,Tissue samples ,Denmark,1999,,,,,
"Identification of mustelid species: otter (Lutra lutra), American mink (Mustela vison) and polecat (Mustela putorius), by analysis of DNA from faecal samples",Population ,Population Genetics ,Spraint,Denmark,1999,,,,,
"Helminth fauna of otter (Lutra lutra Linnaeus, 1758) in Belorussian Polesie",Health,Parasites,Specimen,France,1999,,,,,
Development Of Weight And Length Of Eurasian Otter (Lutra Lutra) Cubs,Anatomy and Physiology,Development,Observations,Germany,1999,,,,,NA
MALIGNANT MELANOMA IN A EURASIAN OTTER (LUTRA LUTRA),Health,General Health ,Specimen,Germany,1999,,,,,
RFLP analysis of the mitochondrial DNA of otters (Lutra lutra) from Europe—implications for conservation of a flagship species,Population ,Genetics ,Tissue samples ,Germany,1999,,,,,
"Diet of Otters Lutra lutra on Inishmore, Aran Islands, West Coast of Ireland",Ecology ,Diet,Spraint,Ireland,1999,,,,,1 location
"Redescription of Eucoleus schvalovoj (Nematoda : Capillariidae), an oesophageal parasite of the Eurasian otter, Lutra lutra, in Spain",Health,Parasites,Specimen,Spain,1999,,,,,
"Reintroduction of the Otter (Lutra lutra) into Catalan Rivers, Spain: Assessing Organochlorine Residue Exposure Through Diet ",Pollution,POPs,Prey,Spain,1999,,,,,
Sarcocystis species in skeletal muscle of otter (Lutra lutra),Health,Parasites,Specimen,Sweden,1999,,,,,
Sexual Differences in the Behaviour of Young Otters (Lutra lutra),Behaviour,Daily Routine ,Observations ,United Kingdom,1999,Shetland,,,,1 island
The role of habitat enhancement in the return of the European otter (Lutra lutra) to Northumberland,Ecology ,Habitat sutibility ,Modeling ,United Kingdom,1999,Northumberland ,Northumberland ,England,,3 river systems
Patterns of otter Lutra lutra road mortality in Britain,Ecology ,Human impacts ,Enviromental variables,United Kingdom,1999,National ,,United Kingdom,,national
"Note: Vagococcus lutrae sp. nov., isolated from the common otter (Lutra lutra)",Health,Disease,Specimen,United Kingdom,1999,Argyll and Bute                      ,,,,
"Vagococcus lutrae sp nov., isolated from the common otter (Lutra lutra)",Health,Parasites,Specimen,United Kingdom,1999,Powys,,,,
"Genetic diversity in the Eurasian otter, Lutra lutra, in Scotland. Evidence from microsatellite polymorphism",Population ,Population Genetics ,Tissue samples ,United Kingdom,1999,National Not Chadwick et al,,Scotland,,
The Distribution and Status of the Eurasian Otter (Lutra lutra) in Asia - a Preliminary Revie,Reviews and methods,Species Review ,Literiture,Asia,1998,,,,,NA
The Distribution and Status of the Eurasian Otter (Lutra lutra) in Asia - a Preliminary Review,Reviews and methods,Species Review ,Literiture,Asia,1998,,,,,
Examination of Blood Samples of the Eurasian Otter (Lutra Lutra),Anatomy and Physiology,Physiology,Blood,Austria,1998,,,,,NA
Otter Lutra lutra predation in cyprinid-dominated habitats ,Ecology ,Diet,Spraint,Austria,1998,,,,,1 location
Enclosure bedding induced gastric foreign body in a European otter (Lutra lutra),Health,Surgery,N/A,Austria,1998,,,,,
Heavy Metal Concentrations in Livers and Kidneys of the Otter (Lutra lutra) from Central Europe,Pollution,Heavy metals,Tissue samples ,Central Europe,1998,,,,,
